epoch,best_value,average_value
0,11.629547,42.155001
1,3.823482,28.772448
2,3.021371,19.980123
3,0.839785,11.845876
4,0.828232,7.76088
5,0.817185,4.47823
6,0.599543,5.391923
7,0.599543,4.989985
8,0.167841,3.343476
9,0.167841,1.922714
10,0.167727,1.099929
11,0.164205,3.520041
12,0.03084,4.671589
13,0.030167,2.131091
14,0.019808,4.786293
15,0.019808,5.201298
16,0.019808,1.05042
17,0.01755,1.466777
18,0.016926,1.590438
19,0.013509,2.350214
20,0.013509,3.015274
21,0.010974,2.689428
22,0.010974,1.603753
23,0.005371,2.279236
24,0.005371,2.838554
25,0.005371,1.32844
26,0.003954,1.267977
27,0.003954,3.261496
28,0.003915,2.797155
29,0.00335,3.289329
30,0.00335,5.18844
31,0.001708,0.996397
32,0.00167,5.449858
33,0.00167,2.264207
34,0.001155,1.28705
35,0.001155,1.136214
36,0.001155,3.131982
37,0.000712,3.624943
38,0.000712,5.731934
39,0.000621,4.580814
40,0.000595,2.882484
41,0.000595,2.49821
42,0.000556,0.620118
43,0.000208,1.610204
44,0.000181,3.687943
45,0.000126,1.726414
46,0.000126,4.173463
47,0.000126,1.641096
48,0.000123,1.589144
49,0.000123,2.332991
50,0.00012,2.513153
51,7.5e-05,1.701543
52,2.1e-05,3.59332
53,2.1e-05,1.831892
54,1.7e-05,4.024273
55,1.7e-05,2.933197
56,9e-06,3.238545
57,5e-06,6.833626
58,5e-06,3.624106
59,4e-06,5.208476
60,4e-06,3.520243
61,4e-06,2.017419
62,2e-06,2.42798
63,2e-06,5.049953
64,2e-06,2.703264
65,2e-06,5.432397
66,2e-06,1.797083
67,1e-06,4.344718
68,1e-06,4.320496
69,1e-06,8.227764
70,1e-06,4.184443
71,1e-06,1.983837
72,1e-06,4.705541
73,1e-06,0.888447
74,0.0,3.292724
75,0.0,4.370847
76,0.0,5.281722
77,0.0,1.318945
78,0.0,2.956274
79,0.0,3.720015
80,0.0,2.893437
81,0.0,5.509838
82,0.0,2.596627
83,0.0,3.219303
84,0.0,5.98594
85,0.0,1.438974
86,0.0,5.563215
87,0.0,2.92783
88,0.0,3.735106
89,0.0,7.5281
90,0.0,6.47057
91,0.0,3.460026
92,0.0,1.794672
93,0.0,3.337437
94,0.0,2.253795
95,0.0,3.759341
96,0.0,3.222139
97,0.0,4.711469
98,0.0,1.576169
99,0.0,0.826321
