epoch,best_value,average_value
0,8.859626,42.946945
1,11.178082,30.02499
2,5.371749,24.718363
3,5.419839,17.645998
4,3.062396,12.470349
5,2.415556,9.697501
6,1.033582,9.815992
7,1.242542,8.216362
8,1.042191,6.743069
9,1.042191,4.539459
10,1.042191,5.632897
11,1.008311,3.196076
12,0.596114,3.440441
13,0.511357,4.391059
14,0.483734,3.23606
15,0.257582,3.403043
16,0.169997,3.728416
17,0.378859,1.214559
18,0.363285,3.17809
19,0.164789,1.367633
20,0.140342,1.834611
21,0.10664,2.79017
22,0.069375,2.985008
23,0.058969,3.92558
24,0.047608,0.52186
25,0.032922,3.252696
26,0.034038,1.686144
27,0.033439,2.617819
28,0.029765,3.807728
29,0.020378,2.226842
30,0.020378,2.821385
31,0.013081,2.811349
32,0.013081,3.915151
33,0.01975,4.127349
34,0.005079,2.803626
35,0.005079,1.516549
36,0.004996,3.621131
37,0.004099,1.534883
38,0.004099,1.300585
39,0.00103,1.717974
40,0.001188,2.371062
41,0.001186,3.528282
42,0.001186,2.942976
43,0.001107,3.576215
44,0.000988,3.840321
45,0.000958,2.323842
46,0.000765,2.672228
47,0.000765,2.463162
48,0.000614,4.396567
49,0.000523,1.620388
50,0.000525,3.948257
51,0.000525,1.288435
52,0.000522,6.214441
53,0.000489,1.343632
54,0.00031,2.212733
55,0.000368,1.81524
56,0.000296,1.197917
57,0.000277,3.661711
58,8.7e-05,3.458345
59,0.000164,2.57296
60,0.000164,2.193287
61,0.000158,5.399535
62,0.000159,3.402816
63,0.000147,3.532059
64,6.3e-05,3.045851
65,6.2e-05,5.146235
66,6.2e-05,3.28489
67,4e-05,6.192399
68,4e-05,4.188981
69,3.1e-05,4.535153
70,3.1e-05,3.055927
71,2.2e-05,3.271165
72,3.1e-05,3.704353
73,2.4e-05,1.397875
74,3e-05,9.091814
75,2.5e-05,2.857212
76,2.2e-05,1.775791
77,1.3e-05,4.301039
78,1.2e-05,7.892975
79,7e-06,3.586409
80,6e-06,2.128511
81,6e-06,4.46865
82,4e-06,1.665513
83,3e-06,1.873729
84,4e-06,3.305786
85,2e-06,5.825564
86,2e-06,4.939563
87,2e-06,4.44394
88,2e-06,6.967652
89,2e-06,4.869958
90,2e-06,6.566276
91,1e-06,3.631842
92,1e-06,4.053834
93,1e-06,1.460642
94,1e-06,4.671475
95,1e-06,4.743856
96,1e-06,3.392934
97,1e-06,1.090271
98,1e-06,3.076046
99,1e-06,5.236487
