epoch,best_value,average_value
0,80.236582,38.837536
1,80.236582,51.444416
2,88.59072,60.359456
3,101.385009,74.212272
4,105.663447,81.55548
5,105.663447,89.182616
6,109.74813,91.824971
7,109.74813,96.059909
8,110.179848,100.835025
9,110.996938,101.292067
10,113.183489,103.170017
11,114.944174,105.292659
12,117.713843,105.977437
13,117.713843,110.32854
14,117.737862,110.165494
15,119.758013,111.668182
16,120.465994,113.007641
17,120.518434,114.734867
18,123.528132,115.311078
19,123.55247,114.288923
20,123.766559,115.572861
21,123.766559,114.599659
22,123.892508,119.814971
23,123.989549,119.216381
24,123.991067,121.167492
25,124.001693,120.681382
26,124.094947,118.570713
27,124.101037,117.60944
28,124.270468,120.448638
29,124.270468,114.823475
30,124.270468,117.497716
31,124.3055,118.325981
32,124.465128,120.629125
33,124.477309,118.350969
34,124.477309,120.635328
35,124.635685,116.452039
36,124.635685,120.559254
37,124.689023,117.537158
38,124.695113,118.820694
39,124.695113,118.425218
40,124.695113,119.299078
41,124.78961,119.398924
42,124.78961,119.065788
43,124.838351,120.474468
44,124.84445,120.318865
45,124.871877,122.867289
46,124.874926,122.494594
47,124.874926,120.423175
48,124.874926,120.086384
49,124.916103,118.220447
50,124.929832,120.170172
51,124.937456,119.348656
52,124.937456,121.813979
53,124.952713,121.611166
54,124.952713,119.530667
55,124.954239,120.362761
56,124.966438,120.144462
57,124.966438,120.753258
58,124.966438,122.556045
59,124.966438,121.831986
60,124.966438,122.304737
61,124.966438,121.969331
62,124.966438,119.453059
63,124.966438,120.977151
64,124.967964,123.308505
65,124.967964,120.469634
66,124.967964,122.103724
67,124.967964,119.048879
68,124.967964,122.168253
69,124.967964,123.000757
70,124.967964,118.02753
71,124.971015,119.864874
72,124.971015,120.56438
73,124.971015,120.323188
74,124.971015,120.936417
75,124.972541,119.720162
76,124.989319,120.284645
77,124.995422,121.000053
78,124.995422,122.655011
79,124.996948,120.189504
80,124.996948,122.260532
81,124.996948,122.413216
82,124.996948,123.376398
83,124.996948,122.120814
84,124.996948,119.778415
85,125.0,121.438884
86,125.0,123.518384
87,125.0,122.832278
88,125.0,120.837856
89,125.0,120.31792
90,125.0,121.840227
91,125.0,121.38823
92,125.0,120.152006
93,125.0,121.721673
94,125.0,120.920113
95,125.0,119.767412
96,125.0,122.663951
97,125.0,120.805108
98,125.0,120.820962
99,125.0,121.332206
