epoch,best_value,average_value
0,70.360274,37.714654
1,83.237025,55.991371
2,96.586283,65.667106
3,97.478611,77.205411
4,104.968707,85.665601
5,104.968707,92.866135
6,109.087457,96.1878
7,110.103633,96.393874
8,116.240143,99.73604
9,119.981636,103.502254
10,119.984681,107.338023
11,120.164536,110.172472
12,120.164536,110.711709
13,120.314322,116.742251
14,120.701387,117.342211
15,121.963654,118.023816
16,121.963654,117.60481
17,122.370568,116.691528
18,123.158303,116.199479
19,123.815663,118.202107
20,123.985727,115.619203
21,124.070919,117.542027
22,124.070919,119.750048
23,124.070919,120.127364
24,124.118936,119.091242
25,124.119709,116.385699
26,124.167638,120.441094
27,124.192075,118.135441
28,124.198174,120.575331
29,124.605261,121.05675
30,124.631136,120.449935
31,124.67231,120.571648
32,124.67231,121.685036
33,124.690505,119.777232
34,124.690505,120.391858
35,124.733207,119.730587
36,124.792708,119.902716
37,124.792708,120.819067
38,124.792708,120.528455
39,124.826121,116.844049
40,124.826121,118.584374
41,124.891697,121.628492
42,124.891697,117.656213
43,124.900849,122.186295
44,124.926779,120.873041
45,124.934399,121.567114
46,124.946601,121.62214
47,124.946601,121.370691
48,124.946601,119.711742
49,124.946601,121.331803
50,124.946601,121.535727
51,124.958806,119.862401
52,124.958806,117.828752
53,124.964909,121.005835
54,124.964909,120.5425
55,124.964909,120.266752
56,124.966435,122.505551
57,124.966435,120.058003
58,124.972536,118.222808
59,124.972536,120.724252
60,124.972536,121.903097
61,124.972536,121.489918
62,124.972536,121.750982
63,124.972536,119.910921
64,124.974061,120.669147
65,124.974061,121.679091
66,124.974061,121.170524
67,124.98169,120.404944
68,124.98169,121.51774
69,124.98169,121.260154
70,124.98169,121.192034
71,124.98169,120.229217
72,124.98169,121.169878
73,124.98169,121.887158
74,124.98169,120.468683
75,124.983216,120.290856
76,124.984742,117.891104
77,124.984742,119.990929
78,124.984742,121.505874
79,124.987794,119.508405
80,124.987794,120.597825
81,124.987794,120.744579
82,124.987794,120.469681
83,124.987794,119.992848
84,124.987794,121.072584
85,124.987794,118.963993
86,124.987794,122.035538
87,124.987794,120.218192
88,124.987794,122.67289
89,124.992371,119.429765
90,124.993897,119.220852
91,124.993897,120.863911
92,124.993897,119.459517
93,124.993897,119.92081
94,125.0,121.394172
95,125.0,118.985285
96,125.0,121.701038
97,125.0,121.871028
98,125.0,119.828743
99,125.0,119.97983
