epoch,best_value,average_value
0,15.693087,43.082952
1,9.361856,31.388866
2,4.963203,26.027167
3,3.891081,21.024323
4,3.303296,20.461629
5,1.038056,19.259587
6,0.546562,8.743653
7,0.430475,10.748961
8,0.327206,4.933367
9,0.144041,3.246136
10,0.106337,2.155459
11,0.075798,2.19076
12,0.066289,4.121552
13,0.051953,2.401972
14,0.050868,2.829171
15,0.037595,1.524566
16,0.037595,2.519597
17,0.036918,2.776852
18,0.021835,1.601484
19,0.021835,3.001156
20,0.009885,1.818981
21,0.009885,2.942565
22,0.003585,1.802846
23,0.003585,1.113803
24,0.003585,2.915406
25,0.002478,1.601162
26,0.002478,2.130515
27,0.002059,3.007453
28,0.002018,2.815045
29,0.002018,1.852861
30,0.001755,4.735636
31,0.001755,1.793689
32,0.001754,2.262494
33,0.001745,3.628418
34,0.000161,2.76082
35,0.000156,2.60352
36,9.2e-05,3.561511
37,9.2e-05,2.798259
38,9.2e-05,5.133939
39,3.4e-05,4.113663
40,3.4e-05,2.434863
41,3.4e-05,4.438287
42,3.4e-05,1.561531
43,2.5e-05,1.946087
44,2.1e-05,4.367602
45,1.1e-05,2.531397
46,1.1e-05,3.017733
47,7e-06,1.479284
48,6e-06,1.633198
49,5e-06,2.583978
50,5e-06,3.869059
51,5e-06,5.087698
52,2e-06,2.157071
53,2e-06,3.254052
54,1e-06,4.633639
55,1e-06,4.751323
56,1e-06,2.006559
57,1e-06,5.042687
58,1e-06,5.54526
59,1e-06,0.761274
60,1e-06,4.619354
61,1e-06,0.859406
62,1e-06,3.66034
63,1e-06,3.372928
64,1e-06,4.977994
65,1e-06,3.475484
66,0.0,3.265804
67,0.0,4.322797
68,0.0,6.119229
69,0.0,4.45858
70,0.0,4.501
71,0.0,3.425812
72,0.0,3.072724
73,0.0,5.359058
74,0.0,3.48463
75,0.0,4.594343
76,0.0,2.306192
77,0.0,1.657753
78,0.0,6.995319
79,0.0,2.35722
80,0.0,3.317052
81,0.0,6.413987
82,0.0,4.568122
83,0.0,2.129902
84,0.0,6.057928
85,0.0,3.666245
86,0.0,4.961811
87,0.0,4.381252
88,0.0,2.604668
89,0.0,1.526686
90,0.0,3.905432
91,0.0,2.867964
92,0.0,6.55209
93,0.0,4.0992
94,0.0,5.750064
95,0.0,4.681828
96,0.0,6.488189
97,0.0,1.649981
98,0.0,1.288057
99,0.0,4.781252
