epoch,best_value,average_value
0,11.401107,42.8857
1,4.980154,32.017729
2,4.622514,21.547658
3,2.371341,13.909802
4,2.309839,10.657016
5,1.544621,6.218662
6,1.544621,4.436626
7,0.972964,5.029434
8,0.834115,4.304791
9,0.834115,5.13398
10,0.418576,4.190574
11,0.418576,4.121183
12,0.389213,3.650727
13,0.294405,3.163686
14,0.265593,2.765173
15,0.101317,3.541534
16,0.101317,3.073206
17,0.101317,2.362437
18,0.097562,2.29792
19,0.072349,5.064926
20,0.072214,3.505462
21,0.058315,2.335265
22,0.04638,2.6654
23,0.020985,3.715318
24,0.020985,3.92009
25,0.020953,7.170886
26,0.020918,4.362498
27,0.006596,4.667066
28,0.006596,3.009595
29,0.006531,4.184794
30,0.006401,3.119725
31,0.006401,3.249125
32,0.006401,4.521172
33,0.00627,0.795486
34,0.00627,1.888283
35,0.003857,4.443567
36,0.003857,2.78176
37,0.003144,1.872237
38,0.003144,3.407105
39,0.002745,1.756653
40,0.002694,1.87562
41,0.002589,2.072183
42,0.002171,1.398457
43,0.002027,5.914372
44,0.001861,2.566809
45,0.001861,3.483453
46,0.000471,1.522289
47,0.000306,1.912911
48,0.000306,3.063691
49,0.000306,3.440322
50,0.000294,3.507392
51,0.000267,3.870368
52,0.000267,2.804995
53,0.000245,5.043757
54,0.000245,6.364761
55,0.000245,3.777176
56,0.000237,3.531156
57,0.000237,2.292778
58,0.00019,7.836871
59,6.7e-05,2.935979
60,6.7e-05,3.040944
61,6.7e-05,1.3015
62,6.7e-05,3.313496
63,2.8e-05,2.127735
64,2.8e-05,1.599631
65,2.8e-05,7.894752
66,2.8e-05,5.563193
67,2.3e-05,2.258914
68,1.7e-05,2.802279
69,1.7e-05,1.997887
70,1.5e-05,4.498958
71,1.5e-05,1.215057
72,1.5e-05,2.00555
73,1.5e-05,2.926674
74,1.5e-05,1.814604
75,9e-06,3.215469
76,8e-06,4.499019
77,8e-06,4.147225
78,8e-06,1.525539
79,8e-06,4.228015
80,7e-06,2.781837
81,7e-06,2.681084
82,4e-06,5.292115
83,4e-06,5.148668
84,4e-06,3.479936
85,3e-06,2.471286
86,1e-06,7.383818
87,1e-06,1.384253
88,1e-06,2.497138
89,1e-06,3.028778
90,0.0,3.419495
91,0.0,5.456811
92,0.0,2.351294
93,0.0,4.135344
94,0.0,6.05399
95,0.0,3.512485
96,0.0,4.722482
97,0.0,1.489235
98,0.0,2.212668
99,0.0,1.213204
