epoch,best_value,average_value
0,13.759618,43.663396
1,13.759618,43.709647
2,13.759618,42.790945
3,10.899783,43.416754
4,10.899783,40.43517
5,10.899783,40.949016
6,10.899783,43.463555
7,9.656208,41.596374
8,8.098955,35.655079
9,8.098955,33.553566
10,5.69619,31.978008
11,5.69619,30.365402
12,5.69619,30.67292
13,5.059095,30.204216
14,1.31672,27.350469
15,1.31672,30.561465
16,1.231941,28.590564
17,1.231941,29.570563
18,1.231941,30.843776
19,1.231941,29.029065
20,0.683659,28.157581
21,0.683651,25.172881
22,0.525731,21.771172
23,0.197056,23.731981
24,0.197056,30.493231
25,0.196456,26.988791
26,0.196226,27.214459
27,0.196226,30.919769
28,0.196226,34.345358
29,0.196226,35.998244
30,0.196226,36.176234
31,0.196226,35.56982
32,0.196226,34.091635
33,0.196226,32.451223
34,0.196226,37.00313
35,0.196226,31.683296
36,0.196226,29.514156
37,0.196226,27.353306
38,0.189348,26.959255
39,0.189348,26.314945
40,0.189348,23.040377
41,0.189348,21.25548
42,0.189348,23.861571
43,0.189348,20.660532
44,0.188889,19.679793
45,0.18882,19.068126
46,0.188665,19.968529
47,0.188665,18.343811
48,0.188665,19.421041
49,0.188665,18.476226
50,0.188665,20.563708
51,0.188665,21.415857
52,0.188665,25.020517
53,0.188665,26.928005
54,0.188665,28.428062
55,0.188665,29.417795
56,0.188665,28.821088
57,0.188665,25.196486
58,0.188665,25.211736
59,0.188665,25.170771
60,0.188665,29.910329
61,0.188665,29.221611
62,0.188665,29.491192
63,0.188665,29.93432
64,0.188665,26.808989
65,0.188665,24.548143
66,0.18842,25.088257
67,0.18842,23.083002
68,0.18842,23.351254
69,0.18842,23.446802
70,0.18842,29.325657
71,0.156981,34.916355
72,0.156981,33.493247
73,0.156981,29.793014
74,0.148184,28.195244
75,0.148184,28.594816
76,0.148184,27.834717
77,0.148184,21.75678
78,0.148184,19.703428
79,0.148184,19.177073
80,0.127018,20.324213
81,0.127018,18.659239
82,0.127018,20.130028
83,0.127018,22.14967
84,0.127018,20.177714
85,0.117152,19.744989
86,0.117152,20.142245
87,0.117152,20.949265
88,0.11205,20.443234
89,0.11205,17.671675
90,0.11205,17.55073
91,0.108947,19.201168
92,0.108947,22.029481
93,0.108947,19.694008
94,0.108947,22.713941
95,0.108947,21.426575
96,0.108947,25.462779
97,0.108947,24.554951
98,0.108947,21.128836
99,0.108947,24.461931
