epoch,best_value,average_value
0,10.437753,41.9519
1,7.756579,33.616195
2,5.87619,22.720695
3,3.683236,21.121347
4,3.683236,16.828562
5,2.028394,18.538854
6,0.51567,11.87045
7,0.51567,7.793346
8,0.50636,5.704043
9,0.390309,8.290154
10,0.390309,4.586398
11,0.390309,5.571485
12,0.324997,5.737853
13,0.324997,2.402637
14,0.226788,2.311932
15,0.226788,2.333376
16,0.217948,2.51342
17,0.158288,1.229275
18,0.121521,2.613861
19,0.121521,2.651994
20,0.056925,3.496575
21,0.0385,1.598534
22,0.0385,1.824489
23,0.024688,1.575623
24,0.024688,4.560701
25,0.024688,4.106432
26,0.024688,5.11141
27,0.024688,2.68726
28,0.024628,2.921022
29,0.022226,3.299791
30,0.017255,2.836036
31,0.017255,1.837869
32,0.017255,2.368874
33,0.017255,4.145919
34,0.016595,3.033931
35,0.016595,4.026956
36,0.015027,1.502062
37,0.015027,3.22586
38,0.015027,4.865398
39,0.015027,2.218799
40,0.013754,1.812891
41,0.013754,2.071684
42,0.013732,3.265656
43,0.013607,3.181292
44,0.011149,2.513213
45,0.011149,6.355993
46,0.011149,3.514561
47,0.011149,3.6687
48,0.011149,3.17427
49,0.011149,2.754825
50,0.007929,2.802449
51,0.006844,4.708176
52,0.006844,2.550768
53,0.006844,2.732318
54,0.006844,2.286478
55,0.0041,0.735323
56,0.0041,2.670933
57,0.003798,2.55083
58,0.003798,2.401414
59,0.003798,1.654998
60,0.003782,3.89893
61,0.002808,2.507411
62,0.002808,2.075091
63,0.002808,3.009516
64,0.002808,2.697078
65,0.002808,2.018572
66,0.002808,4.18914
67,0.002691,2.912506
68,0.002691,4.773756
69,0.002691,3.897828
70,0.002691,1.609279
71,0.002691,2.19974
72,0.002691,2.840274
73,0.00269,2.814918
74,0.00269,1.500238
75,0.000728,1.33088
76,0.000728,1.533484
77,0.000728,1.256826
78,0.000728,2.578898
79,0.000728,2.636386
80,0.000715,3.625784
81,0.000255,3.775129
82,0.000255,1.756341
83,0.000255,4.074772
84,0.000142,2.126494
85,0.000142,2.603525
86,0.000142,3.383006
87,0.000142,1.201117
88,0.000142,4.814491
89,9.8e-05,3.434958
90,9.8e-05,4.741761
91,5.3e-05,4.785949
92,5.3e-05,4.460751
93,5.3e-05,2.44133
94,5.3e-05,4.117477
95,5.3e-05,2.359426
96,5.3e-05,4.161055
97,2.2e-05,3.354738
98,2.2e-05,4.466235
99,2.2e-05,3.854019
