epoch,best_value,average_value
0,2.047448,38.105768
1,1.997635,25.016866
2,1.67227,15.809441
3,0.735275,10.625898
4,0.666441,3.994685
5,0.65664,2.735681
6,0.504568,4.836939
7,0.473156,3.209098
8,0.410143,4.541845
9,0.399445,3.447778
10,0.273046,4.906153
11,0.273046,2.546089
12,0.272984,2.510321
13,0.187409,3.207468
14,0.147987,3.855304
15,0.147123,1.961852
16,0.056855,3.009845
17,0.006871,4.180302
18,0.006871,3.310573
19,0.006871,4.729267
20,0.006587,0.708704
21,0.003778,1.726396
22,0.003765,2.348653
23,0.003358,2.396913
24,0.002968,2.219459
25,0.000594,2.083844
26,0.000594,3.683053
27,0.000594,2.752093
28,0.000594,0.654409
29,0.000594,3.908192
30,0.000594,3.527694
31,0.000172,3.842706
32,0.000172,2.243197
33,0.000172,3.144935
34,0.000152,1.314062
35,0.000101,4.25483
36,0.000101,6.1769
37,0.000101,4.302819
38,0.000101,2.658868
39,0.000101,5.576525
40,5.2e-05,3.846585
41,5.2e-05,1.30028
42,2.8e-05,2.529002
43,2.8e-05,2.593164
44,1.3e-05,3.692378
45,1.2e-05,2.354273
46,1.2e-05,2.052813
47,1.2e-05,3.86691
48,1.2e-05,2.331633
49,6e-06,1.708886
50,6e-06,3.906215
51,5e-06,4.880347
52,5e-06,2.953232
53,3e-06,3.704637
54,3e-06,1.743548
55,3e-06,2.899348
56,3e-06,2.661035
57,3e-06,4.162087
58,2e-06,5.529541
59,1e-06,2.187553
60,1e-06,1.744935
61,1e-06,4.944359
62,0.0,1.19412
63,0.0,4.287527
64,0.0,1.328332
65,0.0,2.429902
66,0.0,4.257077
67,0.0,1.814763
68,0.0,3.451372
69,0.0,2.827608
70,0.0,5.149728
71,0.0,7.372567
72,0.0,3.132325
73,0.0,1.683812
74,0.0,4.271279
75,0.0,1.870383
76,0.0,1.41966
77,0.0,2.848213
78,0.0,1.211736
79,0.0,5.391082
80,0.0,5.166417
81,0.0,4.490783
82,0.0,1.018615
83,0.0,7.066347
84,0.0,3.344522
85,0.0,4.045676
86,0.0,5.234649
87,0.0,2.681892
88,0.0,2.229931
89,0.0,2.68607
90,0.0,2.868518
91,0.0,1.785436
92,0.0,1.324502
93,0.0,2.327756
94,0.0,5.814475
95,0.0,3.139445
96,0.0,3.960179
97,0.0,3.411366
98,0.0,5.136499
99,0.0,4.646542
