epoch,best_value,average_value
0,31.20329,84.972965
1,16.318593,58.424348
2,15.263533,37.45835
3,13.124366,27.711971
4,11.83713,24.199428
5,7.969715,19.687014
6,7.908108,14.961127
7,6.782161,19.011659
8,6.26582,15.230607
9,6.26582,11.815416
10,6.196214,10.752248
11,5.239065,10.936769
12,3.820064,12.406048
13,3.660081,11.28951
14,2.499088,12.378707
15,1.890423,10.438566
16,1.890423,8.632758
17,1.79556,7.192728
18,1.611858,6.733669
19,1.451779,6.341012
20,1.451779,9.396872
21,1.448652,6.595976
22,1.393804,10.897058
23,1.393804,11.431511
24,1.192098,8.153034
25,0.841581,9.570488
26,0.596345,8.474785
27,0.58846,7.414204
28,0.58846,4.088226
29,0.510979,4.33294
30,0.44322,4.842211
31,0.44322,2.76824
32,0.426525,5.573478
33,0.364677,9.398426
34,0.358208,5.516879
35,0.208785,4.730384
36,0.208785,7.147373
37,0.208785,7.003783
38,0.208785,10.491587
39,0.208785,7.673087
40,0.208785,6.185305
41,0.208177,7.432813
42,0.207921,4.934644
43,0.196911,7.736276
44,0.196911,6.110036
45,0.193943,7.577094
46,0.193157,5.88828
47,0.145265,4.584154
48,0.145265,4.921451
49,0.145265,3.642171
50,0.144578,8.266289
51,0.137565,4.601319
52,0.081262,8.650234
53,0.081262,6.4489
54,0.069616,5.778346
55,0.069616,6.129152
56,0.049272,4.060936
57,0.049272,6.685451
58,0.044978,4.38809
59,0.041275,4.43349
60,0.040758,5.087317
61,0.040121,5.150154
62,0.040121,7.528579
63,0.038919,4.456438
64,0.028978,4.184842
65,0.028978,5.0516
66,0.027378,6.433302
67,0.024391,7.94138
68,0.021777,6.241396
69,0.021777,4.932807
70,0.021777,3.863673
71,0.021766,5.613925
72,0.017008,6.471363
73,0.01677,8.849675
74,0.016759,9.724797
75,0.016188,5.179716
76,0.016158,7.289914
77,0.016158,4.220934
78,0.015404,3.16197
79,0.015404,9.806392
80,0.013133,6.528145
81,0.013092,4.326438
82,0.013044,5.025415
83,0.010775,5.462494
84,0.010775,5.272521
85,0.010775,9.962932
86,0.01029,9.419368
87,0.01029,3.930194
88,0.010181,5.266384
89,0.004117,5.205965
90,0.004117,4.731711
91,0.003583,13.395468
92,0.003583,4.880329
93,0.003583,5.812671
94,0.003227,4.454585
95,0.003227,8.465472
96,0.002914,7.691737
97,0.002483,4.848433
98,0.002483,4.101163
99,0.002483,6.561015
100,0.002483,3.824543
101,0.002368,6.843934
102,0.002368,2.566527
103,0.000852,6.026829
104,0.000829,4.983448
105,0.000829,8.495889
106,0.000829,8.767677
107,0.000828,7.906311
108,0.000762,6.149675
109,0.000762,3.913281
110,0.000757,8.345345
111,0.000757,5.219995
112,0.000747,8.418931
113,0.000747,8.018915
114,0.000742,5.695109
115,0.000704,6.791537
116,0.000704,8.955714
117,0.000704,4.551114
118,0.000704,4.699596
119,0.000704,5.393515
120,0.000702,5.667319
121,0.000702,4.042874
122,0.000686,4.155162
123,0.000686,4.945416
124,0.000679,2.945556
125,0.000645,3.094459
126,0.000329,4.866338
127,0.000329,9.467127
128,0.000329,7.688154
129,0.00032,3.058085
130,0.00029,5.381205
131,0.00029,6.40496
132,0.00029,4.945885
133,0.000281,6.209412
134,0.00028,7.079696
135,0.00028,6.264496
136,0.00028,2.921282
137,0.0002,10.322877
138,0.0002,6.533015
139,0.0002,5.646297
140,0.000187,8.872226
141,0.000187,5.567687
142,0.000187,10.078328
143,0.000187,7.615638
144,0.000175,6.79675
145,0.000133,7.683635
146,0.000133,9.406079
147,0.000133,8.146512
148,0.000133,9.433819
149,0.000133,5.357058
150,0.000133,4.928933
151,0.000133,5.091722
152,0.000133,5.518885
153,0.000133,9.625842
